ax,ay,az,gx,gy,gz
-0.886, -1.208, -1.255, -67.627, -153.992, -185.852
-1.025, -1.713, -0.913, -73.547, -181.885, -175.171
-1.117, -2.147, -0.430, -80.017, -205.261, -156.921
-1.185, -2.495, 0.022, -84.717, -221.558, -133.362
-1.219, -2.772, 0.402, -88.196, -231.018, -105.286
-1.254, -2.951, 0.690, -93.567, -235.596, -74.402
-1.326, -3.104, 0.936, -96.741, -236.816, -41.565
-1.400, -3.237, 1.094, -96.252, -236.084, -8.606
-1.502, -3.370, 1.138, -93.018, -233.948, 25.330
-1.637, -3.420, 1.285, -86.304, -233.643, 62.744
-1.784, -3.363, 1.573, -76.843, -234.924, 101.929
-1.934, -3.139, 1.971, -69.519, -234.192, 141.418
-2.094, -2.916, 2.402, -56.702, -229.553, 177.185
-2.228, -2.776, 2.777, -35.339, -221.069, 209.167
-2.388, -2.644, 3.085, -11.353, -209.717, 238.708
-2.514, -2.464, 3.328, 11.963, -196.411, 268.372
-2.648, -2.067, 3.524, 29.724, -181.824, 299.072
-2.698, -1.311, 3.755, 38.635, -166.626, 328.613
-2.690, -0.572, 4.000, 38.696, -149.475, 345.459
-2.604, -0.083, 4.000, 30.457, -126.404, 348.083
-2.493, 0.126, 4.000, 19.409, -97.900, 342.834
-2.425, 0.136, 4.000, 7.751, -63.721, 336.487
-2.412, 0.195, 4.000, -4.089, -24.292, 334.473
-2.458, 0.512, 4.000, -15.381, 17.029, 337.463
-2.539, 1.035, 4.000, -23.254, 57.922, 339.111
-2.504, 1.936, 4.000, -20.142, 93.018, 337.280
-2.412, 2.754, 3.877, -10.254, 118.225, 322.083
-2.268, 3.220, 3.714, -3.784, 139.221, 290.649
-2.111, 3.523, 3.604, -4.639, 159.668, 253.906
-1.983, 3.628, 3.689, -7.385, 178.894, 214.172
-1.894, 3.380, 3.715, -11.597, 201.843, 169.739
-1.862, 2.859, 3.519, -17.029, 228.333, 128.723
-1.901, 2.263, 3.246, -20.020, 255.005, 96.436
-1.966, 1.857, 2.869, -20.447, 279.846, 75.378
-2.022, 1.595, 2.260, -18.982, 302.673, 61.401
-2.029, 1.506, 1.491, -20.935, 319.824, 50.232
-1.944, 1.336, 0.709, -23.071, 327.026, 38.391
-1.799, 1.354, 0.145, -24.536, 322.937, 28.992
-1.631, 1.451, -0.182, -26.672, 310.425, 19.470
-1.466, 1.515, -0.282, -37.659, 294.739, 6.470
-1.336, 1.524, -0.335, -52.002, 278.992, -9.460
-1.233, 1.394, -0.344, -61.951, 264.282, -28.259
-1.117, 1.230, -0.470, -62.561, 250.916, -46.265
-0.998, 0.948, -0.611, -60.120, 237.854, -62.988
-0.871, 0.615, -0.624, -55.176, 221.985, -76.660
-0.753, 0.339, -0.547, -53.711, 205.933, -84.412
-0.668, 0.055, -0.441, -54.016, 191.528, -88.684
-0.580, -0.248, -0.498, -50.110, 179.932, -89.844
-0.481, -0.353, -0.684, -41.626, 168.762, -84.351
-0.386, -0.173, -0.725, -36.621, 153.992, -75.256
-0.302, -0.006, -0.668, -39.246, 137.695, -71.289
-0.237, 0.073, -0.573, -44.739, 123.047, -72.449
-0.175, 0.015, -0.589, -47.546, 110.657, -76.721
-0.117, -0.122, -0.543, -45.044, 97.534, -81.299
-0.075, -0.376, -0.443, -37.048, 84.717, -83.557
-0.021, -0.675, -0.341, -31.311, 74.097, -82.703
0.034, -0.790, -0.144, -29.480, 64.697, -75.012
0.065, -0.733, 0.064, -28.259, 58.044, -63.599
0.076, -0.486, 0.106, -24.597, 55.664, -53.040
0.087, -0.290, 0.052, -22.278, 54.321, -47.607
0.093, -0.160, -0.001, -20.813, 51.880, -46.631
0.094, -0.145, -0.067, -19.470, 48.523, -48.157
0.094, -0.243, -0.054, -18.616, 44.312, -50.476
0.104, -0.365, -0.079, -16.602, 40.161, -50.598
0.104, -0.429, -0.081, -11.475, 35.706, -47.546
0.093, -0.457, -0.084, -2.869, 31.311, -43.335
0.085, -0.404, -0.077, 5.493, 27.100, -38.208
0.069, -0.400, -0.011, 13.306, 22.888, -34.607
0.056, -0.453, 0.091, 17.944, 19.470, -31.860
0.052, -0.404, 0.242, 17.456, 18.494, -27.039
0.022, -0.333, 0.416, 11.658, 20.142, -21.912
-0.016, -0.276, 0.472, 2.319, 25.635, -18.555
-0.069, -0.145, 0.343, -8.240, 33.569, -15.442
-0.160, -0.123, 0.122, -10.681, 40.527, -15.198
-0.203, -0.028, -0.211, -11.902, 44.678, -15.198
-0.277, -0.077, -0.706, 1.038, 44.861, -18.555
-0.383, -0.296, -1.244, 20.447, 38.818, -23.438
-0.442, -0.618, -2.055, 31.189, 26.917, -25.452
-0.413, -0.578, -3.099, 31.006, 6.287, -18.188
-0.470, -0.522, -3.997, 16.724, -28.931, -11.292
-0.638, -0.545, -4.000, 0.977, -80.566, -9.583
-0.951, -0.546, -4.000, -20.081, -147.949, -5.798
-1.399, -0.514, -4.000, -41.809, -228.516, -1.587
-2.057, -0.325, -4.000, -64.514, -318.542, 6.104
-2.851, 0.101, -4.000, -88.501, -408.875, 16.663
-3.679, 0.683, -3.887, -107.666, -495.789, 25.330
-4.000, 1.079, -1.560, -109.253, -574.585, 25.879
-4.000, 1.183, 1.382, -91.614, -629.456, 18.677
-4.000, 0.820, 3.999, -56.458, -645.020, 6.042
-4.000, 0.294, 4.000, -16.663, -615.784, -3.052
-3.381, -0.166, 4.000, 14.282, -542.847, -4.517
-2.610, -0.311, 4.000, 2.075, -445.190, 1.587
-1.960, 0.109, 4.000, -6.714, -345.581, 14.587
-1.436, 0.595, 4.000, -2.869, -255.310, 21.179
-1.082, 1.002, 4.000, 13.977, -179.321, 15.137
-0.811, 1.009, 4.000, 20.691, -119.507, -2.380
-0.637, 0.709, 4.000, 21.912, -73.792, -21.851
-0.512, 0.187, 3.647, 18.372, -39.734, -38.086
-0.461, -0.368, 2.912, 20.142, -20.386, -44.556
-0.409, -0.755, 2.353, 25.208, -11.292, -40.527
-0.386, -0.935, 2.000, 29.053, -8.423, -28.564
-0.359, -0.795, 1.761, 30.701, -8.240, -12.146
-0.339, -0.386, 1.686, 31.189, -10.010, 3.113
-0.321, 0.031, 1.680, 31.799, -10.559, 10.864
-0.298, 0.290, 1.637, 29.907, -8.667, 9.888
-0.285, 0.365, 1.617, 25.452, -5.493, 3.357
-0.281, 0.280, 1.536, 19.287, -0.793, -3.601
-0.288, 0.142, 1.379, 10.437, 4.639, -8.911
-0.300, 0.068, 1.227, 2.563, 8.667, -10.864
-0.312, 0.031, 1.083, -3.052, 10.742, -11.230
-0.327, 0.033, 0.968, -4.578, 10.803, -10.925
-0.334, 0.045, 0.871, -2.502, 9.277, -10.742
-0.342, 0.031, 0.854, 0.427, 6.287, -10.986
-0.349, -0.016, 0.960, 3.174, 2.869, -11.597
-0.350, -0.082, 1.098, 7.629, 1.343, -11.108
-0.353, -0.155, 1.127, 11.658, 2.747, -10.010
-0.347, -0.156, 1.051, 13.977, 5.798, -7.019
-0.340, -0.028, 1.012, 12.451, 7.996, -3.357
-0.341, 0.056, 1.026, 6.042, 9.460, -2.808

-0.476, -0.722, -2.502, -103.149, -16.357, -188.049
-0.518, -1.049, -2.944, -102.417, -57.556, -179.199
-0.631, -1.391, -3.106, -100.769, -107.239, -166.504
-0.827, -1.565, -3.127, -99.121, -159.851, -149.231
-1.126, -1.708, -3.018, -102.051, -213.318, -132.080
-1.472, -2.134, -2.407, -102.600, -267.700, -119.080
-1.809, -2.927, -1.251, -92.834, -318.665, -106.018
-2.054, -3.824, 0.100, -78.430, -354.187, -82.275
-2.167, -4.000, 1.302, -73.547, -368.591, -43.274
-2.252, -4.000, 2.158, -88.928, -363.403, 11.475
-2.355, -4.000, 2.521, -112.610, -344.788, 76.721
-2.426, -4.000, 2.736, -126.465, -323.303, 135.559
-2.589, -3.943, 3.272, -114.258, -307.007, 183.044
-2.742, -3.645, 3.800, -78.247, -288.818, 231.934
-2.827, -2.988, 4.000, -44.556, -264.221, 281.799
-2.895, -2.270, 4.000, -20.752, -238.037, 322.815
-2.932, -1.748, 4.000, -2.197, -207.031, 350.403
-2.977, -1.680, 4.000, 17.395, -172.058, 366.455
-3.085, -1.686, 4.000, 32.837, -138.611, 384.277
-3.250, -1.456, 4.000, 44.495, -109.741, 409.363
-3.440, -0.875, 4.000, 61.279, -81.543, 436.401
-3.491, 0.060, 4.000, 78.003, -50.354, 457.764
-3.434, 0.990, 4.000, 92.163, -18.311, 465.027
-3.367, 1.583, 4.000, 96.924, 15.564, 455.078
-3.220, 2.522, 4.000, 94.727, 54.504, 441.772
-2.953, 3.845, 4.000, 93.994, 91.614, 423.340
-2.600, 4.000, 4.000, 76.294, 123.718, 378.723
-2.265, 4.000, 4.000, 38.086, 153.259, 314.453
-2.034, 4.000, 4.000, -1.770, 183.167, 240.540
-1.921, 3.965, 4.000, -35.461, 214.172, 171.936
-1.915, 3.066, 3.865, -61.035, 246.826, 115.967
-1.981, 2.125, 3.540, -77.881, 280.151, 74.646
-2.072, 1.270, 3.140, -84.961, 311.279, 47.241
-2.189, 0.663, 2.688, -82.947, 337.769, 34.424
-2.279, 0.364, 2.127, -71.716, 360.046, 32.227
-2.336, 0.306, 1.506, -55.664, 375.244, 35.217
-2.329, 0.395, 0.864, -40.894, 383.179, 38.696
-2.227, 0.592, 0.190, -30.945, 383.118, 40.588
-2.044, 0.875, -0.557, -32.227, 375.793, 39.490
-1.784, 1.155, -1.199, -43.701, 358.765, 32.349
-1.522, 1.376, -1.475, -59.326, 330.688, 18.433
-1.272, 1.489, -1.460, -64.331, 296.509, -0.183
-1.079, 1.421, -1.179, -68.115, 263.367, -22.583
-0.931, 1.122, -0.754, -72.388, 235.474, -46.204
-0.828, 0.698, -0.327, -71.777, 215.088, -65.796
-0.743, 0.305, -0.064, -63.354, 203.247, -76.782
-0.671, -0.070, -0.055, -53.162, 196.960, -80.688
-0.609, -0.378, -0.169, -42.114, 192.200, -78.186
-0.532, -0.441, -0.320, -35.278, 185.913, -67.871
-0.467, -0.186, -0.455, -40.405, 177.795, -53.894
-0.410, 0.354, -0.507, -57.495, 167.908, -43.701
